comment_id,comment_text
23795516,"I tested it with 1.0.8 & 1.2.0rc1 and have the same problem with both.
"
24968826,"This isn't working for me.

version: 1.0.8
OS: Mountain Lion

I did a JSONP request on one of the file hosted at Github, like so

``` javascript
$http.json(""https://raw.github.com/<username>/<reponame>/master/somedata.json?callback=JSON_CALLBACK"")
```

ATM, the work-around mentioned by @williamtdavies worked for me

cheers
"
24988699,"Let's move this discussion to #3073
"
30547918,"There's no point in merging this to #3073 because the problem caused by this bit:

``` javascript
'angular.callbacks.' + callbackId
```

which still exists in that pull request.
That is the dots will still be in callback=... and hence not all endpoints out there in the wild will work.
I'm using 1.2.4.

(I'd like to point out that I've watch/read a few tutorials and I was impressed with angular, until I wrote

``` javascript
$resource('http://...', { ..., callback: 'JSON_CALLBACK' }, ...);
```

as my 10th ever line of angular code, now I am really disappointed!)
"
33129018,"This is also a problem for me.

""ReferenceError: JSONP_CALLBACK is not defined"" on fully valid JSONP
"
48761040,"Hi!

I also have the problem. An API is ignoring the provided callback if it contains a dot. I have tried @dancras workaround but it doesn't work for me because I am doing parallel requests and the first few ones will use the same callbacks and the results will be mixed for the next ones.
"
48761785,"Honestly, if an API can't deal with a dot or square brackets for the callback name, then that's really a bug to file on the API. You should typically only need to use JSONP in small demo applications, since larger scale apps should have the resources to set up CORS properly and avoid issues with XMLHttpRequest.

Strongly advise you bring this up with the web service you're having trouble with.
"
48763253,"Ultimately yes, but this thread seems to show that many API have those restrictions. I am dealing with a commercial API that I am unlikely to be able to change in a short timeframe. It supports CORS but it also requires basic authentication and they didn't configure the CORS part for that (they don't allow the Authorization header and they return a wildcard as allowed origin).
"
48765163,"Polluting the global namespace is not really in the cards, so this is a problem for web services to deal with --- this is not an angular issue.
"
52480692,"While I can see @caitp's perspective:

> --- this is not an angular issue.

Do you not think its a good approach to try cater for environments?

For example, what would jQuery be, if they just said ""this is not a jquery issue"" every time they ran into a browser issue?
"
52480987,"It's not a browser issue either, it's literally ""your web service needs to be a bit better and let you specify callbacks as properties of objects"". Without this, all you can do is make it call global functions on window, and I don't think it's really in the cards for angular to support this
"
52481781,"In an ideal world, that's true (also it's not ""our"" web service, it's third party), but there are more rigid platforms/services/companies/processes. There's no business value in making any HTTP endpoint modification to support calls from Angular, however if Angular's view is more flexible (i.e. you relax your statement and allow some exceptions when necessary) it'll be more widely used. I think there are more web services out there in the wild not supporting this than the number of seconds it may take to you fix (implement) this.
"
52482016,"Don't think of it as ""supporting angular"", think of it as ""supporting JSONP"".

Now, arguably there is no point in supporting JSONP because it's really just a hack to avoid CORS issues, which are hopefully handled more gracefully on your web service and you should use them. But if you do want to support JSONP, then support it properly, javascript references are not always to objects in global.
"
52482978,"@dancras thanks for a solution however, angular uses the alphabet after 9 requests eg. `angularcallbacks_a`, which causes the solution to break
"
52483173,"@caitp Hmm, I think I see something in this. When you say ""your web service"" you mean the backend for my Angular browser app. Now, what if I have a third party public API which I want to write a specific app upon and I don't want to create a backend just so I can wrap all the calls and have the endpoint in the same domain (note this means maintaining my own server, quota, availability, cache, auth, etc. when the public endpoint already does all that) , while I can just use JSONP. If I create my own server (with features listed above) just for mirroring an API and working around CORS I think that's the situation Hungarians refer to as ""Shooting sparrows with a cannon"". I know in the serious business world one must have a backend because usually they write their own stuff, but there are other uses of Angular, I think.
"
52483201,"@blowsie what web service are you using which is doing this wrong? Is it your own web service or a third party one? If third party, file a bug, and if it's your own, fix your web service. It's really a server-side bug, not a client-side bug.
"
52483379,"@caitp in this case its redmine.
http://www.redmine.org/issues/13718#change-58154
"
52484180,"well heres your problem: http://www.redmine.org/projects/redmine/repository/entry/trunk/lib/redmine/views/builders/json.rb#L30 --- looks like a pretty trivial patch to write, good first bug.
"
52484701,"@blowsie Yeah it's over a year old so I imagine a lot has changed since it was written.

Perhaps a suitable solution would be to have a configurable json callback strategy object on the $httpProvider, responsible for storing and retrieving json callbacks, with the current implementation as the default strategy. That way if people are stuck using closed source, slow moving APIs they have the means to solve this issue without the majority having to suffer from a crufty solution in angular itself.

It's been a while since I checked the code in this area so I couldn't say how feasible it is.
"
52484927,"The solution is to stop treating it as an angular bug and get your web service developers to fix their jsonp support. Really. Angular's callback routine is perfectly valid, web services are doing the wrong thing when they get this wrong, and it's not very much effort to fix it. Step up to the plate and submit a patch if it's something you care about, you know?
"
52485203,"Thanks @caitp I see what your saying, unfortunately submitting a patch may be out of the question, as I don't know ruby.
"
52485323,"Ahh missed your previous comment, It appears to be some simple regex which I could submit a patch for, thanks.
"
